                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.88724,                0.47773,                0.98299,                0.98206,                0.98246,                0.99364,                0.71308,                 1.1191,                0.44444,                 1.1886,              0.0013169,              0.0013169,              0.0013169
                     72,                0.90767,                0.47191,                 1.0001,                0.99333,                0.97661,                0.99223,                0.70784,                 1.1242,                 0.4418,                 1.1977,               0.001307,               0.001307,               0.001307
                     73,                0.90441,                0.46155,                 1.0019,                0.98712,                0.97076,                0.99022,                0.70136,                 1.1708,                0.46368,                 1.2013,              0.0012971,              0.0012971,              0.0012971
                     74,                0.91396,                0.46521,                0.99071,                0.99386,                0.94689,                0.99292,                0.69607,                 1.1382,                0.45028,                 1.2013,              0.0012872,              0.0012872,              0.0012872
                     75,                0.87408,                0.45805,                 0.9982,                0.98362,                0.97076,                0.99361,                0.69621,                 1.1457,                0.45869,                 1.1943,              0.0012773,              0.0012773,              0.0012773
                     76,                0.90109,                0.46724,                 1.0037,                0.98808,                 0.9697,                0.99239,                0.69406,                 1.1142,                 0.4654,                 1.1965,              0.0012674,              0.0012674,              0.0012674
                     77,                0.91597,                0.47702,                0.99602,                0.99979,                0.96491,                0.99258,                0.69348,                 1.1571,                0.46043,                 1.1994,              0.0012575,              0.0012575,              0.0012575
                     78,                0.89162,                0.46769,                0.98676,                0.98739,                0.98246,                0.99158,                0.70319,                 1.1169,                0.44686,                 1.1854,              0.0012476,              0.0012476,              0.0012476
                     79,                0.86462,                0.46375,                 0.9804,                0.99309,                0.97076,                0.99336,                0.71463,                  1.094,                0.44728,                 1.1697,              0.0012377,              0.0012377,              0.0012377
                     80,                0.87091,                0.46142,                 0.9897,                0.98625,                0.98246,                0.99256,                0.70465,                 1.0945,                0.44257,                  1.181,              0.0012278,              0.0012278,              0.0012278
                     81,                0.87607,                0.45504,                0.98184,                 0.9811,                0.97661,                0.99336,                0.71201,                 1.1069,                 0.4375,                 1.1903,              0.0012179,              0.0012179,              0.0012179
                     82,                0.86234,                0.46266,                0.98523,                0.98821,                0.98013,                0.99365,                0.70112,                 1.1318,                0.45555,                  1.202,               0.001208,               0.001208,               0.001208
                     83,                0.85172,                0.45338,                0.97238,                 0.9863,                0.97661,                0.99289,                0.70124,                 1.1305,                0.44773,                  1.204,              0.0011981,              0.0011981,              0.0011981
                     84,                0.87763,                0.46115,                0.98763,                0.99145,                0.98246,                0.99256,                0.70811,                 1.1154,                0.44801,                 1.1918,              0.0011882,              0.0011882,              0.0011882
                     85,                 0.8761,                0.46927,                0.98666,                0.99286,                0.97661,                 0.9924,                0.70151,                 1.1258,                0.44987,                 1.1969,              0.0011783,              0.0011783,              0.0011783
                     86,                0.86716,                0.45992,                0.98567,                0.98808,                0.98246,                0.99268,                0.69772,                   1.14,                0.44415,                 1.2159,              0.0011684,              0.0011684,              0.0011684
                     87,                0.86549,                0.46023,                0.98435,                0.98822,                0.98157,                0.99299,                 0.7072,                 1.1158,                0.45064,                 1.2024,              0.0011585,              0.0011585,              0.0011585
                     88,                 0.8681,                0.46665,                0.99552,                0.98954,                0.97076,                0.99333,                0.70157,                 1.1243,                0.44402,                 1.1889,              0.0011486,              0.0011486,              0.0011486
                     89,                0.84343,                0.45803,                0.96716,                0.98244,                0.98143,                0.99295,                0.71109,                  1.099,                0.45306,                 1.2017,              0.0011387,              0.0011387,              0.0011387
                     90,                0.84952,                0.45016,                0.97764,                0.99408,                0.98194,                0.99427,                 0.6989,                 1.1305,                0.45169,                 1.1915,              0.0011288,              0.0011288,              0.0011288
                     91,                0.85467,                0.44484,                0.97082,                0.99322,                0.97661,                0.99409,                0.71408,                 1.1169,                0.43629,                 1.1994,              0.0011189,              0.0011189,              0.0011189
                     92,                0.84123,                0.44231,                0.96958,                0.99291,                0.97076,                0.99404,                0.71829,                 1.1109,                0.44326,                 1.1956,               0.001109,               0.001109,               0.001109
