                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.0291,                0.55164,                0.99877,                0.98717,                0.94924,                 0.9873,                0.69946,                 1.1171,                0.53949,                  1.079,              0.0008383,              0.0008383,              0.0008383
                     52,                 1.0539,                0.55561,                0.99137,                0.99961,                0.95431,                0.98809,                0.69701,                 1.1257,                0.53209,                  1.087,               0.000835,               0.000835,               0.000835
                     53,                 1.0382,                0.55309,                0.99211,                0.98308,                0.95939,                0.98605,                0.68086,                 1.1388,                0.53106,                 1.0924,              0.0008317,              0.0008317,              0.0008317
                     54,                 1.0318,                0.53558,                 0.9848,                0.99363,                0.94416,                0.98812,                0.67913,                 1.1691,                0.52464,                 1.1161,              0.0008284,              0.0008284,              0.0008284
                     55,                 1.0216,                0.54691,                0.99674,                0.98427,                0.95279,                0.98364,                0.68246,                   1.15,                0.55211,                 1.1039,              0.0008251,              0.0008251,              0.0008251
                     56,                  1.026,                  0.536,                0.98706,                0.96925,                0.94924,                0.98589,                0.69035,                 1.1055,                0.54073,                 1.0837,              0.0008218,              0.0008218,              0.0008218
                     57,                 1.0117,                  0.529,                0.98263,                0.97894,                0.95431,                0.98821,                0.69752,                 1.1236,                0.52149,                 1.0805,              0.0008185,              0.0008185,              0.0008185
                     58,                 1.0094,                0.53457,                0.98931,                0.97925,                0.95812,                 0.9877,                0.67647,                 1.1275,                0.53431,                 1.0872,              0.0008152,              0.0008152,              0.0008152
                     59,                 1.0246,                0.53838,                0.98841,                0.97303,                0.94924,                0.97767,                0.68243,                 1.1564,                0.54164,                 1.1194,              0.0008119,              0.0008119,              0.0008119
                     60,                 1.0306,                0.52658,                0.98963,                0.98056,                0.95431,                0.98363,                0.68946,                 1.1261,                 0.5388,                 1.0957,              0.0008086,              0.0008086,              0.0008086
                     61,                 1.0079,                 0.5242,                0.98118,                0.96919,                0.95806,                0.98013,                0.68699,                 1.1442,                0.52528,                 1.0888,              0.0008053,              0.0008053,              0.0008053
                     62,                0.98335,                0.51428,                0.97312,                0.99335,                0.95431,                0.98444,                0.67637,                 1.1321,                0.51407,                 1.0837,               0.000802,               0.000802,               0.000802
                     63,                 0.9827,                 0.5196,                0.97182,                0.95914,                0.95317,                0.97548,                0.66292,                 1.1633,                0.54318,                 1.0844,              0.0007987,              0.0007987,              0.0007987
                     64,                 1.0095,                0.52798,                0.97926,                0.98435,                0.95769,                 0.9885,                0.67455,                 1.1702,                0.51871,                 1.1241,              0.0007954,              0.0007954,              0.0007954
                     65,                0.99047,                0.51567,                0.97537,                0.98243,                0.95939,                0.98746,                0.68284,                 1.1377,                0.50785,                 1.0935,              0.0007921,              0.0007921,              0.0007921
                     66,                0.99294,                0.51424,                0.97427,                0.98772,                0.95431,                0.98485,                0.68847,                 1.1216,                0.52431,                 1.0859,              0.0007888,              0.0007888,              0.0007888
                     67,                 1.0008,                0.52382,                0.97938,                0.98934,                0.94185,                0.98814,                0.68957,                   1.11,                0.52008,                 1.1001,              0.0007855,              0.0007855,              0.0007855
